tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2018-01-15,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Angin Puyuh No 73a Komplek TNI AL,Cilincing,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2018-01-15,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Yos Sudarso Kav 85 PT.PLN,Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-15,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Yos Sudarso Kav 85 PT.PLN,Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-15,Penyelamatan,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Masyarakat Datang,"Jl.Jend Sudirman No52,53 ( BEI )",Senayan,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Pasar ikan, Museum Bahari",Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Paseban Raya No.27,Paseban ,Senen, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Otista Raya No.84,Kampung Mester/Melayu,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kapuk Kamal No.88,Tegal Alur,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Tanjung Duren, Gg. Rambutan Timur V",Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,1000000,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Sajo II,Ragunan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-17,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Raya Kalimalang (Rumah Dinas TNI AD KPAD),Cipinang Melayu,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2018-01-17,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Ulujami Raya,Ulujami,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,2000000,,
2018-01-17,Kebakaran,Bencana Kebakaran,Petugas Pemadam,"Jl. Pasar Ikan, No. 1 (Museum Bahari)",Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-17,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,"Jl. Duri Utara, Gg. Ular",Duri Utara,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2018-01-17,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Pengadegan Selatan 3,Pangadegan,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-17,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Baung, Gg. Kramat",Lenteng Agung,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-17,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Pasar Ikan, No. 1 (Museum Bahari)",Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-17,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Silang Monas,Gambir ,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-17,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Bambu Apus,Bambu Apus,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-17,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,"Jl. Otista 2, Gg. H. Dewel",Bidara CIna,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2018-01-18,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Joglo Raya,Joglo,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2018-01-18,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Pasar Ikan, No. 1 (Museum Bahari)",Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-18,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Gaga,Semanan,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2018-01-18,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Pasar Ikan, No. 1 (Museum Bahari)",Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-18,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl.Danau Agung,Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-18,Penyelamatan,Pohon Tumbang,Masyarakat Datang,"Jl.Kamal Raya No 20,Komplek Budha Tzu Chi",Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2018-01-18,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Pasar Ikan, No. 1 (Museum Bahari)",Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-18,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Raya Mas Mansyur Depan TPU Bivak,Karet Tengsin,Tanah Abang, Kota Administrasi Jakarta Pusat,0,15000000,,
2018-01-18,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.Raya Penggilingan Komplek Permata,Penggilingan,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-18,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.M.Khafi Gg.Kranji No 43,Ciganjur,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-19,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl.Yos Sudarso ( Depan MOI ),Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-19,Penyelamatan,Pertolongan Gawat Darurat (Ambulan).,Masyarakat Datang,Rusun Marunda Blok A.1 No.202,Marunda,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2018-01-19,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Jatipadang (RPTRA Asoka),Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-19,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Al - Barokah II, Gg. H. Kaimin",Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
